application_id,customer_id,application_date,requested_amount,risk_score,eligible,underwriting_complete,approved,funded,approved_amount
APP0000001,CUST007135,2026-03-09 12:10:02,4130.3,598,0,0,0,0,0.0
APP0000002,CUST007949,2025-07-14 13:44:04,3094.08,649,1,1,0,0,0.0
APP0000003,CUST002237,2026-06-10 21:22:52,21394.1,720,1,1,0,0,0.0
APP0000004,CUST010557,2026-06-04 02:18:33,3973.76,471,1,1,0,0,0.0
APP0000005,CUST005763,2026-02-01 19:51:43,6335.24,445,1,1,1,1,5066.8
APP0000006,CUST007131,2025-05-12 16:11:34,2580.16,585,1,1,1,1,1961.87
APP0000007,CUST002380,2025-01-07 16:03:17,2850.58,529,1,0,0,0,0.0
APP0000008,CUST007087,2025-04-11 12:00:42,17684.26,697,1,1,0,0,0.0
APP0000009,CUST001865,2025-04-18 22:48:49,9445.31,698,1,1,1,0,8885.51
APP0000010,CUST006712,2025-12-30 02:17:04,4456.72,626,1,1,1,1,4285.54
APP0000011,CUST005641,2025-07-12 01:57:18,6887.5,640,1,1,1,1,6176.15
APP0000012,CUST007964,2025-10-11 13:30:28,3808.63,724,1,1,1,1,3567.5
APP0000013,CUST011359,2025-08-30 14:44:28,6217.36,523,1,1,1,1,5453.67
APP0000014,CUST008190,2025-06-19 11:24:17,2711.71,634,1,1,0,0,0.0
APP0000015,CUST007450,2025-02-25 09:05:10,7374.63,585,1,1,1,1,6312.5
APP0000016,CUST006232,2025-07-04 11:15:08,7290.46,607,1,1,1,0,5694.2
APP0000017,CUST010639,2026-02-28 00:04:33,2620.39,534,0,0,0,0,0.0
APP0000018,CUST005695,2025-07-10 14:11:58,7904.76,557,1,1,0,0,0.0
APP0000019,CUST007248,2025-05-30 08:08:15,3240.23,728,1,0,0,0,0.0
APP0000020,CUST011266,2025-08-01 23:51:47,6906.77,679,1,1,1,1,5264.98
APP0000021,CUST010729,2026-07-08 10:07:59,2665.35,631,1,1,1,1,2508.12
APP0000022,CUST007437,2026-07-24 05:40:51,3245.37,590,1,1,0,0,0.0
APP0000023,CUST004590,2025-05-17 07:12:55,4064.68,583,1,1,0,0,0.0
APP0000024,CUST002716,2026-07-12 08:13:44,14465.62,740,1,1,1,1,11206.9
APP0000025,CUST002535,2026-08-06 10:29:21,6756.17,573,1,1,1,1,5641.86
APP0000026,CUST004983,2025-05-23 09:18:02,13612.78,715,1,1,1,1,12330.81
APP0000027,CUST009699,2025-08-06 07:31:19,36254.2,578,1,1,1,1,35138.25
APP0000028,CUST001094,2025-07-28 14:49:45,4518.5,609,1,1,1,1,4026.6
APP0000029,CUST003690,2025-12-29 11:29:13,6460.89,737,1,1,1,0,5152.65
APP0000030,CUST006667,2025-05-25 05:11:13,11012.62,613,1,1,1,0,8541.42
APP0000031,CUST001583,2025-12-14 12:53:52,3643.07,630,1,1,0,0,0.0
APP0000032,CUST011983,2026-07-22 16:40:59,10514.93,645,1,1,0,0,0.0
APP0000033,CUST006294,2025-01-23 08:09:37,5293.3,689,1,1,1,1,4803.66
APP0000034,CUST003334,2025-01-21 18:02:23,3285.57,586,1,0,0,0,0.0
APP0000035,CUST007083,2026-02-04 15:55:38,6923.43,518,0,0,0,0,0.0
APP0000036,CUST002617,2026-05-15 04:11:00,9949.27,728,0,0,0,0,0.0
APP0000037,CUST000657,2026-01-31 19:33:50,4616.18,639,1,0,0,0,0.0
APP0000038,CUST001980,2026-01-05 12:12:31,4347.34,718,1,1,1,1,4137.25
APP0000039,CUST004992,2026-01-31 10:41:37,17614.81,593,1,1,0,0,0.0
APP0000040,CUST001283,2026-03-04 18:55:03,5025.68,589,1,1,1,1,4055.5
APP0000041,CUST007589,2026-07-20 08:08:59,10832.0,720,1,1,0,0,0.0
APP0000042,CUST001496,2026-08-06 08:37:03,1705.2,653,1,1,0,0,0.0
APP0000043,CUST001874,2025-08-25 03:11:44,7918.43,590,1,1,0,0,0.0
APP0000044,CUST010629,2026-05-04 03:56:28,3893.59,649,1,1,1,1,3021.84
APP0000045,CUST006317,2025-06-02 06:31:39,5958.55,694,1,1,1,1,4539.06
APP0000046,CUST011636,2026-08-03 15:01:39,6696.43,644,1,1,0,0,0.0
APP0000047,CUST001150,2026-07-27 06:44:15,11629.64,520,1,1,0,0,0.0
APP0000048,CUST007109,2025-04-03 17:57:56,14005.33,614,1,1,1,0,13633.17
APP0000049,CUST006214,2025-03-25 02:17:43,14434.27,579,0,0,0,0,0.0
APP0000050,CUST006998,2025-08-11 15:12:10,4656.33,516,1,1,0,0,0.0
APP0000051,CUST010630,2025-12-28 18:45:10,2275.44,754,1,1,1,1,1986.33
APP0000052,CUST002882,2025-03-06 06:32:22,4665.11,507,1,1,0,0,0.0
APP0000053,CUST009539,2025-04-05 14:44:26,5637.93,562,1,1,0,0,0.0
APP0000054,CUST008453,2025-10-18 19:10:06,9010.63,597,1,1,0,0,0.0
APP0000055,CUST007953,2026-03-27 13:24:08,2772.63,620,1,1,1,1,2364.71
