loan_id,customer_id,origination_date,original_amount,outstanding_balance,days_past_due,risk_band
LOAN0000001,CUST010298,2024-08-06 01:11:09,7502.05,3539.86,15,Medium
LOAN0000002,CUST001082,2023-09-11 13:04:37,11733.37,9680.47,0,Low
LOAN0000003,CUST005592,2024-04-04 15:02:03,11804.88,8765.57,0,Medium
LOAN0000004,CUST010483,2024-06-06 17:14:24,55397.22,30608.03,0,Low
LOAN0000005,CUST004203,2023-10-02 06:33:34,7616.97,1636.41,0,Low
LOAN0000006,CUST010618,2023-12-08 20:37:56,5252.1,2543.33,0,High
LOAN0000007,CUST007155,2023-04-09 01:51:24,5722.97,1240.45,0,Medium
LOAN0000008,CUST004365,2025-12-08 01:38:13,3000.0,2376.81,5,High
LOAN0000009,CUST008004,2023-02-12 15:14:41,4840.62,1141.04,0,Medium
LOAN0000010,CUST000767,2025-11-17 02:36:03,3000.0,2814.23,0,Low
LOAN0000011,CUST000209,2023-05-19 15:14:36,9888.06,3591.85,45,Medium
LOAN0000012,CUST006126,2024-04-04 19:26:11,6268.83,390.39,0,High
LOAN0000013,CUST005812,2026-01-30 22:43:05,12505.32,7703.83,0,High
LOAN0000014,CUST001250,2023-10-10 11:26:48,20708.35,7711.47,0,Medium
LOAN0000015,CUST003627,2024-06-06 15:29:27,11872.68,8125.47,5,Low
LOAN0000016,CUST011306,2024-07-26 21:07:59,4491.37,3920.78,5,Low
LOAN0000017,CUST002830,2026-03-23 07:47:42,5986.51,342.71,0,Very High
LOAN0000018,CUST011063,2024-07-16 11:57:27,15808.88,1574.67,0,Low
LOAN0000019,CUST003599,2023-06-08 05:24:40,5960.86,2987.3,0,Low
LOAN0000020,CUST003395,2025-05-11 11:14:38,8064.47,3976.44,0,High
LOAN0000021,CUST000293,2024-07-21 16:16:12,9670.17,9279.51,0,Medium
LOAN0000022,CUST005314,2024-01-04 09:44:55,9879.38,7370.3,30,High
LOAN0000023,CUST009017,2025-02-19 04:11:20,14606.93,2202.28,5,Low
LOAN0000024,CUST005522,2023-12-27 05:39:35,10383.38,8321.59,0,Low
LOAN0000025,CUST005433,2024-05-30 03:54:43,3000.0,1175.53,15,Medium
LOAN0000026,CUST005487,2025-08-24 18:14:59,3846.86,358.91,0,Medium
LOAN0000027,CUST003007,2025-10-12 09:46:45,10315.02,6370.18,15,Low
LOAN0000028,CUST000678,2026-02-22 11:44:39,12638.39,5706.26,0,Low
LOAN0000029,CUST004447,2025-01-15 21:54:31,9035.72,2504.56,0,Low
LOAN0000030,CUST004516,2026-07-26 05:10:22,8388.57,4604.65,15,Medium
LOAN0000031,CUST011330,2023-03-02 05:53:49,8545.46,1206.73,0,Medium
LOAN0000032,CUST000106,2025-09-16 10:36:37,7510.42,824.37,15,Low
LOAN0000033,CUST001656,2023-08-12 23:11:37,7029.43,1638.07,0,Medium
LOAN0000034,CUST007826,2025-02-18 10:44:30,13317.97,3235.68,0,Medium
LOAN0000035,CUST000438,2025-04-02 14:21:01,3049.16,2591.25,0,Medium
LOAN0000036,CUST003509,2026-01-10 22:07:17,17760.55,14608.15,0,Low
LOAN0000037,CUST001692,2023-06-21 07:26:31,9410.75,7298.74,0,High
LOAN0000038,CUST006595,2025-05-11 03:17:06,7437.78,3738.15,120,Low
LOAN0000039,CUST006887,2025-01-26 23:54:44,11008.5,6528.58,0,High
LOAN0000040,CUST007247,2023-02-25 09:43:39,10036.21,2290.85,5,Low
LOAN0000041,CUST009563,2026-06-12 15:55:07,20959.18,12108.76,0,Medium
LOAN0000042,CUST002749,2024-04-06 15:09:36,3169.01,2494.82,0,Medium
LOAN0000043,CUST000354,2026-05-26 18:53:49,3666.78,3104.09,0,High
LOAN0000044,CUST002955,2023-09-28 16:12:02,11724.15,3865.4,0,Medium
LOAN0000045,CUST010701,2024-02-08 07:15:53,6406.43,2401.87,0,Low
LOAN0000046,CUST005404,2024-11-22 17:02:27,9581.66,2977.0,60,High
LOAN0000047,CUST007109,2026-01-13 18:50:07,8120.89,6351.46,0,Medium
LOAN0000048,CUST010299,2025-07-14 11:02:43,17224.6,2428.24,0,Very High
LOAN0000049,CUST009442,2026-06-26 11:25:40,4453.0,2751.73,0,Low
LOAN0000050,CUST003985,2023-07-23 13:38:49,10032.83,4622.41,5,Low
LOAN0000051,CUST004794,2026-02-10 03:01:36,9886.34,1243.42,0,Medium
LOAN0000052,CUST008308,2026-01-21 02:14:43,3859.35,1857.15,0,Low
LOAN0000053,CUST002275,2025-08-16 16:36:31,7789.15,4775.15,30,Medium
LOAN0000054,CUST010311,2024-02-09 20:15:54,6072.15,5322.07,0,Low
LOAN0000055,CUST003127,2024-06-01 04:42:07,7701.54,3543.15,0,Low
LOAN0000056,CUST009271,2024-02-11 06:02:59,6979.11,1630.1,0,Low
LOAN0000057,CUST009209,2026-04-21 15:27:03,43581.05,13636.08,0,High
LOAN0000058,CUST005889,2025-06-12 03:29:22,6199.5,2062.41,0,High
LOAN0000059,CUST004177,2025-11-08 00:40:41,6496.58,4652.51,0,High
LOAN0000060,CUST010860,2025-07-30 21:16:22,15599.53,13411.07,0,Low
LOAN0000061,CUST001271,2023-11-15 22:54:05,3682.19,2932.73,0,Low
LOAN0000062,CUST004436,2025-12-22 02:01:22,6533.74,859.76,0,Medium
LOAN0000063,CUST006101,2024-12-20 12:47:31,4818.17,4521.63,30,Low
LOAN0000064,CUST007818,2026-01-10 19:05:38,7441.58,6099.45,0,Medium
LOAN0000065,CUST001097,2026-04-21 14:36:35,22259.46,14199.3,0,Low
LOAN0000066,CUST007593,2023-04-29 03:31:05,12773.6,7385.91,0,Low
LOAN0000067,CUST003518,2024-10-28 16:48:51,9117.99,5058.54,30,High
LOAN0000068,CUST010678,2025-04-17 20:15:32,3000.0,1116.46,0,Low
LOAN0000069,CUST009431,2023-03-29 14:14:03,10876.57,7300.28,15,Low
LOAN0000070,CUST001336,2024-11-12 13:29:15,7238.39,4776.46,0,High
LOAN0000071,CUST010890,2025-07-26 14:01:50,3202.11,1536.11,0,Very High
LOAN0000072,CUST005579,2025-11-06 21:49:56,8185.36,6899.21,0,High
LOAN0000073,CUST000224,2024-09-30 11:49:01,15223.86,9237.72,0,High
LOAN0000074,CUST006724,2024-01-03 08:03:14,7120.34,4190.54,5,Low
LOAN0000075,CUST011164,2023-08-29 14:24:26,11611.67,1452.44,0,Low
LOAN0000076,CUST011571,2024-07-26 19:57:13,5433.55,1443.12,0,Medium
LOAN0000077,CUST000356,2024-10-31 19:59:45,14225.76,3774.13,0,Medium
LOAN0000078,CUST002829,2024-04-07 04:34:43,16788.85,4842.3,0,Medium
LOAN0000079,CUST002216,2026-07-06 19:58:10,5267.91,788.83,0,Low
LOAN0000080,CUST010314,2023-12-18 04:28:45,24821.94,12832.65,0,Low
LOAN0000081,CUST007027,2024-10-12 11:44:58,5612.23,2667.19,120,Low
LOAN0000082,CUST008001,2023-10-08 13:35:34,4617.81,3674.64,0,Very High
LOAN0000083,CUST007157,2024-01-19 16:59:38,7345.92,5116.84,15,Medium
LOAN0000084,CUST007269,2024-08-21 13:44:44,16805.44,7925.89,60,Medium
LOAN0000085,CUST006296,2025-09-16 00:43:08,5306.61,3441.06,0,Very High
LOAN0000086,CUST010404,2023-02-09 07:20:39,3746.16,1840.58,0,Low
LOAN0000087,CUST006846,2024-08-10 00:38:47,6319.43,5232.86,0,Medium
LOAN0000088,CUST010892,2025-12-08 17:23:55,24006.75,7723.09,0,Low
LOAN0000089,CUST008937,2024-01-10 09:01:41,13264.69,9876.57,0,Low
LOAN0000090,CUST003827,2023-01-14 21:30:40,7365.2,2349.08,0,Medium
LOAN0000091,CUST008390,2024-03-01 22:19:01,3000.0,1809.44,0,Low
LOAN0000092,CUST011844,2023-04-09 06:49:14,10002.52,526.27,30,Low
LOAN0000093,CUST000055,2023-11-20 11:13:28,26420.07,14133.86,0,High
LOAN0000094,CUST004267,2023-08-25 07:25:50,11963.59,4903.42,0,Low
LOAN0000095,CUST000460,2026-06-12 19:01:46,15742.93,1861.15,0,Low
LOAN0000096,CUST003668,2024-10-17 14:22:54,29033.67,23082.13,0,Low
LOAN0000097,CUST007893,2025-02-16 23:52:19,7158.82,5984.68,0,Low
LOAN0000098,CUST005492,2025-07-03 09:24:27,12788.42,11392.62,120,High
LOAN0000099,CUST011058,2023-06-30 08:37:33,10565.97,614.91,0,Low
LOAN0000100,CUST003988,2026-04-08 05:21:02,14285.03,997.3,0,Medium
LOAN0000101,CUST007783,2025-05-24 05:33:53,8718.5,8021.96,90,Medium
LOAN0000102,CUST009911,2024-01-11 08:02:28,5685.76,5226.93,0,Low
LOAN0000103,CUST003930,2023-05-30 23:32:55,10215.52,2488.09,0,Low
LOAN0000104,CUST005081,2024-05-21 12:47:08,6699.93,5032.05,0,Low
LOAN0000105,CUST010279,2023-06-28 03:25:34,7938.96,5436.09,0,Low
LOAN0000106,CUST005133,2023-04-12 18:23:16,14861.02,6416.71,0,Low
LOAN0000107,CUST003694,2024-09-08 02:29:10,11483.85,6959.56,5,Very High
