activity_id,customer_id,activity_date,activity_type,amount
ACT0000001,CUST005977,2025-03-09 16:46:13,Savings Deposit,534.27
ACT0000002,CUST000310,2025-10-31 08:13:21,Savings Deposit,115.07
ACT0000003,CUST009516,2025-12-22 13:26:53,Login,85.24
ACT0000004,CUST000240,2025-06-21 03:21:30,Credit Repayment,135.7
ACT0000005,CUST006592,2026-06-21 22:47:24,Application,60.18
ACT0000006,CUST010672,2026-03-06 23:45:35,Application,325.95
ACT0000007,CUST010702,2025-12-08 08:48:41,Payment,12.3
ACT0000008,CUST004481,2025-09-21 15:54:55,Payment,2.34
ACT0000009,CUST001610,2025-04-01 13:26:19,Credit Repayment,162.37
ACT0000010,CUST009345,2025-09-05 16:52:03,Login,65.19
ACT0000011,CUST004203,2025-05-25 10:05:12,Application,76.83
ACT0000012,CUST000865,2026-01-12 19:19:03,Application,16.3
ACT0000013,CUST006168,2025-10-14 17:22:50,Login,47.01
ACT0000014,CUST001746,2025-06-20 19:11:58,Payment,663.3
ACT0000015,CUST008008,2025-02-24 04:38:58,Login,57.62
ACT0000016,CUST002785,2025-09-15 21:20:43,Payment,247.36
ACT0000017,CUST005907,2025-01-02 04:51:46,Login,48.04
ACT0000018,CUST009937,2025-08-02 02:03:17,Login,121.58
ACT0000019,CUST011824,2026-02-28 18:20:58,Credit Repayment,95.26
ACT0000020,CUST000333,2026-08-02 09:53:02,Login,129.88
ACT0000021,CUST007482,2025-02-21 10:53:36,Login,125.69
ACT0000022,CUST007858,2026-07-01 18:41:23,Login,265.5
ACT0000023,CUST000592,2026-02-21 16:43:16,Savings Deposit,90.75
ACT0000024,CUST004693,2025-11-20 02:05:33,Application,33.68
ACT0000025,CUST000041,2026-04-16 22:08:27,Login,4.54
ACT0000026,CUST008458,2025-11-22 08:55:02,Payment,63.73
ACT0000027,CUST008166,2025-02-07 20:52:21,Login,30.41
ACT0000028,CUST010793,2026-01-13 20:21:56,Credit Repayment,398.63
ACT0000029,CUST006383,2025-02-21 06:59:32,Savings Withdrawal,184.79
ACT0000030,CUST010443,2025-05-25 22:05:39,Payment,15.01
ACT0000031,CUST003889,2026-01-26 01:54:57,Savings Deposit,79.89
ACT0000032,CUST005036,2025-08-13 21:28:48,Credit Repayment,39.96
ACT0000033,CUST006607,2025-12-04 02:44:20,Login,189.44
ACT0000034,CUST003840,2026-08-20 06:27:55,Login,165.85
ACT0000035,CUST009628,2025-07-18 14:00:40,Credit Repayment,33.14
ACT0000036,CUST002793,2025-11-29 09:21:21,Savings Deposit,35.15
ACT0000037,CUST003000,2025-11-23 19:06:41,Savings Deposit,162.07
ACT0000038,CUST006782,2025-04-26 07:03:44,Savings Withdrawal,528.03
ACT0000039,CUST008304,2026-07-18 04:19:30,Login,73.41
ACT0000040,CUST002759,2026-02-11 02:12:19,Savings Deposit,113.03
ACT0000041,CUST008453,2025-12-01 11:49:29,Savings Deposit,21.95
ACT0000042,CUST011411,2026-04-22 22:09:12,Savings Deposit,42.77
ACT0000043,CUST005410,2025-08-05 18:46:31,Credit Repayment,438.35
ACT0000044,CUST010393,2025-12-28 02:30:05,Credit Repayment,104.79
ACT0000045,CUST005022,2026-07-27 06:52:07,Application,1829.82
ACT0000046,CUST002986,2026-06-05 10:25:38,Login,415.33
ACT0000047,CUST008400,2025-03-27 18:24:31,Savings Deposit,16.98
ACT0000048,CUST000833,2026-01-28 21:03:21,Login,34.56
ACT0000049,CUST002355,2026-07-25 19:52:44,Savings Deposit,86.21
ACT0000050,CUST010251,2026-05-17 22:58:37,Credit Repayment,481.49
ACT0000051,CUST008311,2025-12-06 08:10:52,Savings Deposit,165.78
ACT0000052,CUST002300,2025-02-28 22:12:33,Payment,65.55
ACT0000053,CUST011270,2025-02-25 13:10:17,Login,447.65
ACT0000054,CUST008055,2026-06-24 09:18:09,Payment,84.38
ACT0000055,CUST009613,2025-06-28 07:17:19,Savings Deposit,3.85
ACT0000056,CUST001907,2026-07-14 14:29:38,Credit Repayment,313.78
ACT0000057,CUST003714,2026-07-25 01:11:28,Payment,122.45
ACT0000058,CUST005607,2025-01-18 20:10:24,Savings Deposit,22.23
ACT0000059,CUST010215,2025-03-15 16:29:59,Credit Repayment,15.76
ACT0000060,CUST007260,2025-03-08 00:06:28,Login,139.71
ACT0000061,CUST000543,2025-09-03 00:05:04,Payment,122.05
ACT0000062,CUST010436,2025-07-25 07:42:12,Payment,17.58
ACT0000063,CUST008083,2025-12-18 21:46:56,Login,142.78
ACT0000064,CUST008198,2025-11-20 10:15:49,Payment,46.64
