customer_id,signup_date,segment,country,acquisition_channel
CUST000001,2022-05-30 05:27:44,Mass Market,Germany,Partner
CUST000002,2025-07-18 01:18:29,Mass Market,Netherlands,Organic
CUST000003,2024-12-30 10:38:45,Mass Market,Netherlands,Organic
CUST000004,2024-01-04 19:18:50,Mass Market,Austria,Paid
CUST000005,2023-12-26 00:02:07,SME,Germany,Referral
CUST000006,2025-12-06 13:49:02,Mass Market,Netherlands,Paid
CUST000007,2022-05-24 16:49:35,Mass Market,Netherlands,Branch
CUST000008,2025-03-11 23:59:03,Mass Market,Austria,Organic
CUST000009,2022-12-03 20:34:10,Mass Market,Netherlands,Paid
CUST000010,2024-05-30 06:32:54,Affluent,Germany,Organic
CUST000011,2026-06-20 05:46:25,Mass Market,Germany,Paid
CUST000012,2025-05-15 04:16:16,Mass Market,Austria,Organic
CUST000013,2025-06-26 15:00:50,Mass Market,Netherlands,Organic
CUST000014,2025-04-14 14:55:41,Mass Market,Netherlands,Partner
CUST000015,2025-08-07 07:11:18,Mass Market,Netherlands,Partner
CUST000016,2024-05-08 02:45:21,SME,Netherlands,Organic
CUST000017,2022-08-03 04:56:37,Mass Market,Netherlands,Branch
CUST000018,2024-01-24 01:05:12,Mass Market,Austria,Partner
CUST000019,2024-04-16 14:07:17,Mass Market,Belgium,Paid
CUST000020,2023-09-12 23:22:59,Mass Market,Germany,Paid
CUST000021,2022-11-02 05:21:06,SME,Germany,Organic
CUST000022,2026-03-30 13:13:31,Affluent,Germany,Referral
CUST000023,2025-07-30 18:44:19,Mass Market,Germany,Paid
CUST000024,2024-12-12 13:01:10,Mass Market,Belgium,Organic
CUST000025,2023-11-04 20:05:00,Mass Market,Belgium,Organic
CUST000026,2025-10-07 15:46:40,Mass Market,Germany,Organic
CUST000027,2024-06-30 22:58:46,Mass Market,Germany,Paid
CUST000028,2024-01-12 09:19:29,Affluent,Germany,Partner
CUST000029,2024-01-24 04:02:27,Mass Market,Belgium,Branch
CUST000030,2023-01-15 22:38:07,Mass Market,France,Organic
CUST000031,2022-06-04 01:13:47,Affluent,Germany,Paid
CUST000032,2024-07-16 06:22:41,Affluent,Germany,Organic
CUST000033,2026-01-24 13:14:37,Mass Market,France,Paid
CUST000034,2022-04-17 16:51:31,Mass Market,France,Partner
CUST000035,2025-12-06 01:30:46,Mass Market,Belgium,Branch
CUST000036,2025-10-15 19:11:01,Affluent,Austria,Referral
CUST000037,2023-04-08 17:48:46,Mass Market,Germany,Organic
CUST000038,2024-11-22 03:25:44,Mass Market,Germany,Branch
CUST000039,2025-06-21 12:32:41,Mass Market,Germany,Referral
CUST000040,2025-03-17 06:35:08,Mass Market,Germany,Organic
CUST000041,2023-08-16 18:25:04,Mass Market,Germany,Branch
CUST000042,2022-04-24 13:29:37,Affluent,Germany,Partner
CUST000043,2026-06-12 00:10:13,Mass Market,Germany,Referral
CUST000044,2024-01-16 04:32:50,Mass Market,Belgium,Paid
CUST000045,2026-02-02 07:09:51,SME,Germany,Organic
CUST000046,2025-02-07 11:32:02,Mass Market,Belgium,Referral
CUST000047,2025-07-25 10:58:22,Mass Market,Germany,Paid
CUST000048,2025-06-24 13:14:41,Mass Market,Germany,Branch
CUST000049,2022-11-22 10:27:43,Mass Market,Germany,Organic
CUST000050,2023-09-01 10:49:16,Mass Market,Germany,Paid
CUST000051,2024-02-20 08:34:49,Mass Market,Germany,Referral
CUST000052,2024-04-12 07:22:44,Mass Market,Belgium,Partner
CUST000053,2022-03-15 05:45:27,Mass Market,Belgium,Paid
CUST000054,2024-07-02 20:44:27,Mass Market,Germany,Partner
CUST000055,2022-09-15 23:19:43,Affluent,Germany,Referral
CUST000056,2025-05-27 22:11:18,Mass Market,Germany,Partner
CUST000057,2025-02-16 01:23:18,Affluent,Netherlands,Paid
CUST000058,2026-03-23 11:11:49,Mass Market,Germany,Partner
CUST000059,2025-05-30 05:48:56,Mass Market,Germany,Paid
CUST000060,2023-09-06 00:38:11,Mass Market,Belgium,Referral
CUST000061,2026-06-06 16:13:49,Mass Market,Belgium,Partner
CUST000062,2023-11-18 22:36:10,Mass Market,France,Paid
CUST000063,2023-06-29 18:43:11,Mass Market,Germany,Organic
CUST000064,2026-02-23 01:20:21,Mass Market,Germany,Organic
CUST000065,2023-09-12 09:48:25,Mass Market,Germany,Paid
