transaction_id,customer_id,transaction_date,product_type,transaction_type,revenue,cost
TXN0000001,CUST001335,2025-07-20 19:26:39,Credit,Interest Expense,25.13,11.61
TXN0000002,CUST006234,2026-06-21 02:40:43,Payments,Interest Expense,2.56,7.27
TXN0000003,CUST001006,2025-08-14 17:55:23,Payments,Interest Expense,-5.0,0.0
TXN0000004,CUST006189,2025-08-05 15:18:42,Payments,Interchange,5.7,4.35
TXN0000005,CUST009256,2026-01-08 18:43:56,Credit,Fee,10.91,0.15
TXN0000006,CUST006343,2025-10-13 12:36:08,Credit,Interchange,9.25,7.36
TXN0000007,CUST005660,2025-05-24 05:32:46,Payments,FX,1.8,8.96
TXN0000008,CUST009533,2026-07-02 21:33:20,Payments,Interchange,23.4,1.92
TXN0000009,CUST007140,2025-08-25 00:36:43,Payments,FX,40.66,10.54
TXN0000010,CUST007740,2026-06-28 03:32:28,Payments,Interest Income,17.81,0.0
TXN0000011,CUST001042,2026-04-06 19:30:59,Credit,FX,-5.0,7.74
TXN0000012,CUST008126,2026-05-24 00:50:13,Payments,Fee,-5.0,0.0
TXN0000013,CUST004828,2025-03-03 16:14:53,Payments,Interest Expense,18.56,6.08
TXN0000014,CUST000074,2026-02-14 03:27:37,Savings,Interchange,-0.06,5.61
TXN0000015,CUST009838,2025-08-23 21:40:19,Savings,Interest Expense,17.82,2.44
TXN0000016,CUST002000,2025-05-09 19:48:09,Credit,Interchange,19.11,10.42
TXN0000017,CUST006619,2025-11-16 12:52:38,Credit,Interchange,17.96,12.62
TXN0000018,CUST008914,2025-04-24 18:34:04,Credit,Interchange,-4.47,0.0
TXN0000019,CUST005327,2025-10-01 13:41:35,Payments,FX,15.54,0.79
TXN0000020,CUST005317,2025-11-11 07:32:44,Credit,FX,14.93,0.3
TXN0000021,CUST001900,2026-06-10 04:47:39,Savings,FX,-1.28,8.34
TXN0000022,CUST009431,2025-09-19 08:27:10,Credit,Interchange,35.73,1.94
TXN0000023,CUST002883,2025-09-27 11:57:19,Payments,Interchange,31.75,4.55
TXN0000024,CUST002027,2025-10-30 04:10:20,Credit,Interest Income,20.99,2.17
TXN0000025,CUST007237,2026-03-27 23:00:18,Credit,Interchange,16.16,5.89
TXN0000026,CUST005360,2025-07-30 00:41:38,Payments,Interest Income,17.59,0.87
TXN0000027,CUST011367,2025-01-21 06:27:05,Savings,FX,17.93,1.01
TXN0000028,CUST010865,2026-03-20 12:45:05,Credit,Fee,11.52,0.0
TXN0000029,CUST009036,2026-08-18 05:45:55,Credit,Interest Income,34.78,13.08
TXN0000030,CUST002679,2025-12-02 15:16:17,Credit,Interchange,0.87,6.53
TXN0000031,CUST002382,2025-10-05 06:00:19,Credit,Interchange,15.46,0.0
TXN0000032,CUST011495,2025-04-11 10:32:38,Savings,Interchange,18.49,9.23
TXN0000033,CUST011638,2025-02-11 11:58:35,Savings,FX,-0.95,1.95
TXN0000034,CUST000650,2025-02-20 13:47:55,Payments,FX,35.38,5.5
TXN0000035,CUST003637,2026-01-25 07:08:05,Credit,Interest Income,17.24,4.35
TXN0000036,CUST010657,2025-10-20 09:39:49,Savings,FX,9.4,0.44
TXN0000037,CUST003258,2025-05-07 20:34:36,Payments,Other,38.29,4.04
TXN0000038,CUST011503,2025-09-16 00:25:46,Credit,Interchange,30.71,0.0
TXN0000039,CUST003139,2025-04-18 16:15:33,Savings,Interest Income,29.3,4.84
TXN0000040,CUST002099,2026-02-27 00:09:01,Payments,Interchange,13.44,0.49
TXN0000041,CUST001220,2025-06-06 05:26:14,Credit,Interchange,8.14,19.01
TXN0000042,CUST006709,2026-03-22 06:49:50,Credit,Interest Expense,28.17,6.81
TXN0000043,CUST003898,2026-03-07 17:21:46,Payments,Interchange,14.75,8.2
TXN0000044,CUST006888,2025-08-30 15:13:00,Savings,Fee,13.19,0.26
TXN0000045,CUST006302,2025-12-05 22:44:45,Savings,Interchange,22.98,4.28
TXN0000046,CUST008565,2026-08-19 22:31:54,Savings,Fee,18.74,6.65
TXN0000047,CUST009452,2026-07-12 00:31:31,Payments,Interest Income,7.75,0.0
TXN0000048,CUST004541,2025-10-30 21:41:43,Payments,Interchange,16.15,7.04
TXN0000049,CUST009653,2026-03-05 05:24:48,Payments,FX,-5.0,0.0
TXN0000050,CUST010449,2026-08-23 04:40:45,Credit,Interest Expense,7.79,6.65
TXN0000051,CUST000965,2025-06-15 06:07:02,Savings,Other,30.0,0.0
TXN0000052,CUST002340,2025-02-27 12:29:16,Payments,Interchange,27.4,5.08
TXN0000053,CUST010290,2026-07-15 18:57:20,Savings,Fee,31.5,4.43
TXN0000054,CUST005998,2025-11-14 03:54:34,Payments,Interchange,22.89,3.54
TXN0000055,CUST009875,2026-01-21 10:37:46,Credit,Interchange,0.04,0.0
TXN0000056,CUST008188,2025-09-08 07:40:56,Payments,Interest Expense,20.35,4.73
TXN0000057,CUST003129,2026-06-28 15:26:28,Payments,Interchange,20.75,9.65
TXN0000058,CUST010501,2025-02-21 07:21:46,Payments,FX,19.57,4.54
TXN0000059,CUST000749,2025-08-14 12:04:19,Savings,Other,33.78,5.79
TXN0000060,CUST010465,2025-06-02 00:46:03,Payments,Other,17.58,3.35
TXN0000061,CUST003632,2025-11-16 11:26:10,Payments,Interest Income,5.61,9.13
TXN0000062,CUST002998,2025-11-30 02:37:57,Savings,Interchange,24.26,7.84
TXN0000063,CUST008473,2026-08-21 11:43:16,Savings,Interest Expense,10.11,17.83
TXN0000064,CUST003671,2025-11-05 15:31:41,Payments,Fee,19.09,8.1
TXN0000065,CUST002025,2025-08-16 17:59:31,Payments,Interchange,25.7,0.49
TXN0000066,CUST009172,2025-11-24 19:09:27,Savings,Interest Expense,-3.76,9.13
TXN0000067,CUST000959,2025-01-12 03:25:13,Savings,Fee,16.18,4.74
TXN0000068,CUST011587,2025-03-14 12:24:34,Payments,Interest Expense,10.29,6.69
TXN0000069,CUST011296,2026-05-05 13:36:12,Payments,FX,27.72,10.23
TXN0000070,CUST001724,2026-08-04 04:05:57,Payments,Interest Income,9.98,4.51
TXN0000071,CUST000114,2025-05-08 17:23:36,Savings,Interchange,27.79,0.0
TXN0000072,CUST004538,2026-04-19 13:26:20,Savings,FX,23.1,1.81
TXN0000073,CUST001509,2026-05-24 23:37:31,Payments,Other,4.49,0.0
TXN0000074,CUST010585,2026-04-10 00:54:02,Savings,Other,33.83,0.0
TXN0000075,CUST011601,2026-01-17 06:46:42,Payments,Interchange,10.56,11.49
TXN0000076,CUST007740,2026-03-11 22:11:42,Credit,Fee,33.38,5.91
TXN0000077,CUST001918,2026-07-27 20:41:26,Payments,FX,25.06,5.49
TXN0000078,CUST006890,2025-06-10 12:36:24,Payments,Interchange,11.71,7.16
TXN0000079,CUST006592,2026-01-19 01:20:40,Savings,Interchange,32.97,8.48
TXN0000080,CUST004982,2026-02-10 13:21:16,Credit,Interest Income,27.06,16.81
TXN0000081,CUST010150,2025-12-18 09:47:19,Payments,Fee,-5.0,4.32
TXN0000082,CUST011062,2025-10-04 22:00:49,Payments,Interchange,3.02,7.28
TXN0000083,CUST007096,2025-03-30 21:14:44,Savings,Interest Income,9.19,0.0
TXN0000084,CUST008971,2026-07-30 02:40:52,Savings,Fee,25.62,1.67
TXN0000085,CUST008231,2025-05-23 20:04:17,Savings,Interchange,13.49,19.46
TXN0000086,CUST003557,2026-03-05 12:44:31,Savings,Interchange,5.39,4.09
TXN0000087,CUST007113,2025-08-02 01:12:40,Payments,Fee,-4.75,7.29
TXN0000088,CUST008318,2025-05-21 04:32:13,Savings,Interest Expense,-1.58,9.04
TXN0000089,CUST006991,2025-11-30 20:52:52,Savings,Interest Income,12.35,6.91
TXN0000090,CUST005760,2025-03-14 12:07:36,Payments,FX,26.33,11.99
TXN0000091,CUST005600,2025-06-17 16:46:13,Payments,Fee,13.05,0.0
TXN0000092,CUST009507,2025-11-25 20:36:39,Payments,Fee,15.33,2.38
TXN0000093,CUST005809,2025-12-29 07:42:04,Credit,Interest Income,19.78,10.95
TXN0000094,CUST008411,2026-07-24 05:27:23,Payments,Interest Income,15.05,3.4
TXN0000095,CUST000351,2025-10-04 19:05:32,Payments,Interest Income,3.12,9.34
TXN0000096,CUST002948,2026-08-03 13:57:35,Payments,Other,12.56,6.57
TXN0000097,CUST002330,2025-09-24 19:39:07,Payments,Interest Expense,14.19,7.09
TXN0000098,CUST009452,2026-08-12 23:05:13,Savings,FX,4.21,1.79
TXN0000099,CUST008122,2025-12-18 13:34:07,Payments,Other,-3.51,0.0
TXN0000100,CUST005422,2025-12-16 18:20:41,Credit,Interchange,7.77,21.6
TXN0000101,CUST004967,2025-05-11 14:39:01,Savings,Interest Expense,16.25,9.13
TXN0000102,CUST008155,2025-12-14 19:30:30,Credit,Fee,14.08,4.03
TXN0000103,CUST010717,2025-08-24 00:34:10,Savings,Interest Expense,11.14,9.64
TXN0000104,CUST000831,2026-04-15 23:12:29,Credit,Other,12.57,11.84
TXN0000105,CUST009324,2025-05-30 08:33:56,Payments,Fee,6.66,15.25
TXN0000106,CUST011727,2026-04-05 08:25:36,Payments,FX,14.37,6.14
TXN0000107,CUST001321,2025-02-08 02:05:56,Credit,Interest Income,15.55,4.94
TXN0000108,CUST001619,2026-06-17 20:59:21,Savings,Fee,24.26,0.0
TXN0000109,CUST008425,2026-01-28 07:37:02,Savings,FX,-5.0,2.87
TXN0000110,CUST008499,2025-09-09 06:56:16,Payments,Interchange,15.51,0.0
TXN0000111,CUST000826,2025-03-28 11:11:19,Payments,Interest Income,21.55,1.87
TXN0000112,CUST010421,2025-03-25 02:25:21,Payments,Other,2.56,3.28
TXN0000113,CUST001536,2025-03-16 01:17:47,Credit,Interest Expense,33.89,14.05
TXN0000114,CUST010305,2025-05-15 00:51:52,Payments,Interest Expense,-1.26,17.45
TXN0000115,CUST010255,2025-08-20 08:27:55,Payments,Interchange,24.31,10.43
TXN0000116,CUST010989,2025-12-21 11:42:27,Credit,Fee,13.31,0.0
TXN0000117,CUST009563,2025-03-22 20:21:53,Payments,Interest Income,18.52,0.0
TXN0000118,CUST006449,2026-07-17 17:50:49,Credit,Interest Income,21.91,8.41
TXN0000119,CUST001832,2025-11-18 03:14:56,Credit,FX,23.65,14.19
TXN0000120,CUST009682,2025-07-26 01:21:43,Payments,Interchange,0.84,0.87
TXN0000121,CUST009973,2025-08-05 03:22:49,Credit,Fee,22.57,14.31
TXN0000122,CUST011681,2025-01-22 10:45:18,Payments,Fee,27.21,4.12
TXN0000123,CUST009023,2025-08-17 14:05:13,Savings,Other,31.42,4.0
TXN0000124,CUST006666,2026-03-08 19:47:05,Credit,FX,25.01,8.59
