account_id,customer_id,product_type,opened_date,status,balance
ACC0000001,CUST005071,Savings,2025-08-18 14:10:29,Closed,2079.92
ACC0000002,CUST005819,Savings,2025-02-07 17:59:33,Active,579.72
ACC0000003,CUST009533,Credit,2025-12-31 13:19:33,Active,750.05
ACC0000004,CUST008270,Payments,2022-01-01 07:08:05,Active,392.45
ACC0000005,CUST001058,Payments,2022-09-14 12:33:41,Closed,1465.19
ACC0000006,CUST001591,Credit,2024-08-25 05:27:01,Dormant,281.62
ACC0000007,CUST007212,Payments,2024-12-27 11:38:55,Active,1139.76
ACC0000008,CUST010063,Credit,2022-06-09 23:22:22,Active,3668.64
ACC0000009,CUST011552,Credit,2023-03-31 14:44:46,Active,2155.48
ACC0000010,CUST010734,Payments,2026-08-13 08:41:37,Dormant,958.67
ACC0000011,CUST007805,Savings,2025-12-07 07:29:06,Closed,8577.39
ACC0000012,CUST002854,Payments,2022-12-22 14:12:15,Active,495.93
ACC0000013,CUST000982,Credit,2022-05-02 23:56:10,Closed,5862.07
ACC0000014,CUST008832,Savings,2025-12-03 00:28:52,Active,537.42
ACC0000015,CUST010903,Payments,2024-10-11 02:25:55,Active,1876.97
ACC0000016,CUST004861,Credit,2025-08-27 13:08:45,Active,485.66
ACC0000017,CUST001548,Payments,2022-01-12 17:15:39,Active,1541.54
ACC0000018,CUST008780,Credit,2025-02-05 12:51:10,Active,4156.77
ACC0000019,CUST004427,Savings,2023-05-04 23:28:07,Active,662.46
ACC0000020,CUST007660,Credit,2024-08-29 18:13:51,Dormant,5216.13
ACC0000021,CUST002181,Savings,2025-07-21 15:09:43,Active,955.37
ACC0000022,CUST004278,Savings,2023-12-24 02:08:59,Active,531.49
ACC0000023,CUST008663,Payments,2025-08-22 04:13:45,Active,5252.95
ACC0000024,CUST010283,Savings,2025-07-10 17:52:38,Dormant,522.64
ACC0000025,CUST003179,Savings,2023-02-07 22:17:20,Active,148.5
ACC0000026,CUST009595,Savings,2023-10-18 07:32:18,Dormant,180.25
ACC0000027,CUST003134,Credit,2025-12-08 13:28:54,Active,2062.71
ACC0000028,CUST008831,Savings,2025-06-27 15:44:47,Active,419.75
ACC0000029,CUST004963,Savings,2024-04-23 12:43:58,Active,809.15
ACC0000030,CUST008420,Credit,2022-11-05 17:03:14,Active,764.26
ACC0000031,CUST003434,Savings,2022-01-30 02:25:45,Closed,4115.55
ACC0000032,CUST000991,Credit,2025-10-13 09:55:00,Active,2111.28
ACC0000033,CUST009415,Credit,2025-12-29 06:54:48,Active,2114.59
ACC0000034,CUST000090,Payments,2025-07-23 02:07:11,Active,1836.9
ACC0000035,CUST006321,Savings,2024-07-16 02:18:44,Active,761.4
ACC0000036,CUST000701,Payments,2025-07-09 13:33:47,Active,421.25
ACC0000037,CUST006672,Savings,2023-11-21 06:50:57,Active,319.84
ACC0000038,CUST001308,Savings,2023-08-16 18:35:31,Active,1648.81
ACC0000039,CUST001940,Savings,2025-03-30 09:38:21,Active,701.45
ACC0000040,CUST011821,Payments,2026-03-14 20:01:47,Dormant,2686.5
ACC0000041,CUST010962,Savings,2024-05-09 18:56:41,Active,881.38
ACC0000042,CUST005357,Payments,2023-12-30 17:06:00,Dormant,1955.91
ACC0000043,CUST004187,Payments,2023-03-31 02:49:13,Active,6179.85
ACC0000044,CUST008347,Savings,2023-01-28 11:34:09,Active,9836.56
ACC0000045,CUST004529,Savings,2024-03-02 21:17:50,Active,940.37
ACC0000046,CUST001817,Savings,2022-08-31 20:28:20,Active,2180.84
ACC0000047,CUST002909,Savings,2022-09-30 23:08:34,Active,187.26
ACC0000048,CUST007407,Payments,2023-01-21 06:36:39,Active,357.75
ACC0000049,CUST011523,Savings,2022-01-26 11:15:02,Dormant,1223.7
ACC0000050,CUST007828,Payments,2023-08-02 00:05:56,Active,2452.31
ACC0000051,CUST007285,Payments,2025-01-09 01:50:32,Dormant,595.58
ACC0000052,CUST009419,Credit,2026-07-23 06:22:36,Active,444.78
ACC0000053,CUST000732,Credit,2025-06-04 04:39:55,Active,475.68
ACC0000054,CUST007475,Payments,2023-05-23 11:12:47,Active,2522.47
ACC0000055,CUST002312,Payments,2023-06-07 11:07:11,Active,1240.3
ACC0000056,CUST005049,Credit,2023-11-12 13:39:31,Active,1548.61
ACC0000057,CUST005766,Credit,2026-08-09 20:16:49,Active,1492.42
ACC0000058,CUST008758,Payments,2023-08-08 11:26:50,Active,1937.5
ACC0000059,CUST002255,Credit,2023-01-06 12:00:40,Active,1084.07
ACC0000060,CUST011453,Payments,2026-02-19 21:11:52,Dormant,1586.94
ACC0000061,CUST007261,Payments,2024-10-24 12:17:12,Active,1559.25
ACC0000062,CUST004179,Payments,2024-02-20 22:23:15,Active,155.76
ACC0000063,CUST003695,Savings,2025-10-08 17:19:10,Active,2040.29
ACC0000064,CUST001222,Savings,2023-11-12 19:40:35,Active,1347.42
ACC0000065,CUST004196,Savings,2025-04-29 20:42:21,Active,1174.85
ACC0000066,CUST001406,Payments,2023-06-11 11:31:47,Closed,384.66
ACC0000067,CUST009440,Payments,2023-10-31 21:26:28,Active,776.72
ACC0000068,CUST009527,Savings,2025-08-01 03:58:47,Active,952.62
ACC0000069,CUST006293,Savings,2025-12-16 17:54:22,Dormant,100.66
ACC0000070,CUST011575,Savings,2025-06-17 18:02:46,Closed,1053.01
ACC0000071,CUST001357,Savings,2025-06-10 01:44:21,Active,923.98
ACC0000072,CUST010543,Payments,2023-07-08 13:15:08,Active,1707.27
ACC0000073,CUST004463,Credit,2023-03-08 13:38:38,Active,806.11
ACC0000074,CUST009097,Credit,2024-08-31 19:53:24,Closed,827.76
ACC0000075,CUST010757,Payments,2025-05-30 00:23:08,Active,1043.42
ACC0000076,CUST001532,Credit,2025-09-22 09:44:50,Closed,170.99
ACC0000077,CUST010154,Savings,2023-07-12 13:50:52,Active,532.78
ACC0000078,CUST011905,Savings,2023-02-25 02:15:29,Active,1228.45
ACC0000079,CUST009119,Savings,2023-03-21 03:21:36,Active,251.38
